sample #',MLII,V5
6566,950,971
6567,951,969
6568,946,970
6569,947,971
6570,949,973
6571,952,973
6572,948,971
6573,946,969
6574,946,969
6575,947,971
6576,949,974
6577,949,972
6578,949,970
6579,948,968
6580,946,968
6581,948,969
6582,951,972
6583,948,971
6584,948,968
6585,947,967
6586,946,967
6587,946,971
6588,948,971
6589,948,969
6590,947,965
6591,945,964
6592,944,964
6593,947,967
6594,948,969
6595,952,965
6596,950,962
6597,949,963
6598,950,960
6599,947,963
6600,950,963
6601,951,962
6602,952,961
6603,951,957
6604,949,957
6605,948,957
6606,951,959
6607,950,957
6608,952,954
6609,950,950
6610,945,948
6611,947,950
6612,947,952
6613,946,948
6614,946,947
6615,946,944
6616,942,942
6617,946,943
6618,948,945
6619,946,944
6620,948,940
6621,945,938
6622,943,938
6623,943,938
6624,945,943
6625,946,941
6626,946,940
6627,942,939
6628,941,941
6629,946,942
6630,948,948
6631,946,948
6632,947,949
6633,946,948
6634,946,950
6635,948,955
6636,952,962
6637,953,960
6638,955,964
6639,956,963
6640,955,964
6641,958,966
6642,960,970
6643,961,969
6644,964,969
6645,963,969
6646,960,970
6647,964,975
6648,969,975
6649,969,976
6650,969,975
6651,969,973
6652,968,970
6653,967,971
6654,969,974
6655,969,974
6656,968,975
6657,965,973
6658,963,973
6659,963,973
6660,964,978
6661,966,975
6662,967,970
6663,965,969
6664,962,970
6665,964,973
6666,964,975
6667,965,972
6668,964,972
6669,963,970
6670,962,969
6671,961,971
6672,963,975
6673,962,973
6674,962,970
6675,961,971
6676,960,968
6677,963,970
6678,966,972
6679,967,971
6680,965,969
6681,964,969
6682,961,969
6683,962,967
6684,961,972
6685,960,969
6686,960,967
6687,958,966
6688,956,966
6689,960,969
6690,962,970
6691,960,967
6692,960,966
6693,958,963
6694,955,963
6695,956,965
6696,958,967
6697,958,965
6698,960,966
6699,958,963
6700,959,964
6701,959,964
6702,960,965
6703,961,965
6704,960,966
6705,958,965
6706,955,965
6707,960,966
6708,961,969
6709,961,967
6710,960,963
6711,959,963
6712,957,963
6713,956,965
6714,958,967
6715,959,969
6716,961,969
6717,957,967
6718,955,965
6719,956,966
6720,959,969
6721,960,967
6722,958,963
6723,955,964
6724,956,962
6725,958,965
6726,956,970
6727,959,966
6728,961,968
6729,962,965
6730,959,964
6731,961,965
6732,958,967
6733,961,967
6734,960,966
6735,959,963
6736,958,965
6737,958,967
6738,961,968
6739,962,967
6740,963,962
6741,962,961
6742,962,962
6743,964,964
6744,967,965
6745,969,965
6746,970,965
6747,970,964
6748,968,962
6749,971,966
6750,973,968
6751,974,970
6752,975,970
6753,974,970
6754,975,971
6755,979,974
6756,981,974
6757,980,973
6758,980,971
6759,978,972
6760,977,975
6761,976,977
6762,976,979
6763,978,974
6764,979,974
6765,976,971
6766,970,971
6767,974,975
6768,973,976
6769,977,976
6770,979,974
6771,981,969
6772,976,967
6773,972,968
6774,969,971
6775,967,970
6776,961,969
6777,960,966
6778,955,964
6779,954,967
6780,954,967
6781,952,965
6782,951,965
6783,953,964
6784,952,963
6785,952,967
6786,952,971
6787,954,965
6788,955,962
6789,953,960
6790,949,959
6791,951,961
6792,954,964
6793,955,966
6794,956,964
6795,957,961
6796,953,964
6797,951,963
6798,954,966
6799,955,967
6800,955,964
6801,953,964
6802,950,965
6803,950,968
6804,951,965
6805,952,960
6806,947,952
6807,941,945
6808,933,947
6809,931,945
6810,932,940
6811,929,935
6812,925,939
6813,913,950
6814,907,972
6815,914,996
6816,932,1010
6817,955,1022
6818,983,1037
6819,1016,1054
6820,1062,1081
6821,1115,1105
6822,1160,1109
6823,1192,1075
6824,1200,1011
6825,1169,954
6826,1104,930
6827,1024,936
6828,968,946
6829,937,952
6830,922,954
6831,927,954
6832,932,952
6833,938,954
6834,943,956
6835,942,957
6836,942,957
6837,941,957
6838,943,957
6839,941,962
6840,945,958
6841,946,956
6842,945,955
6843,943,953
6844,942,957
6845,942,958
6846,945,961
6847,946,957
6848,944,957
6849,944,957
6850,945,956
6851,944,961
6852,947,963
6853,947,963
6854,945,962
6855,942,961
6856,940,960
6857,942,960
6858,944,963
6859,946,959
6860,942,958
6861,941,958
6862,939,959
6863,939,959
6864,943,960
6865,944,957
6866,939,958
6867,941,955
6868,941,958
6869,942,958
6870,943,960
6871,944,958
6872,942,957
6873,943,957
6874,941,958
6875,942,961
6876,944,961
6877,945,960
6878,944,960
6879,943,957
6880,943,955
6881,941,956
6882,943,956
6883,944,958
6884,943,957
6885,942,954
6886,940,953
6887,941,957
6888,944,959
6889,945,954
6890,944,953
6891,941,952
6892,940,951
6893,942,953
6894,944,953
6895,945,953
6896,944,950
6897,941,950
6898,942,949
6899,941,947
6900,941,950
6901,943,945
6902,942,944
6903,940,943
6904,936,942
6905,938,938
6906,938,940
6907,939,936
6908,937,934
6909,937,934
6910,936,932
6911,934,932
6912,934,931
6913,934,929
6914,931,929
6915,930,926
6916,927,924
6917,931,929
6918,933,930
6919,934,930
6920,934,932
6921,930,930
6922,927,930
6923,932,934
6924,935,939
6925,937,941
6926,939,947
6927,938,945
6928,938,949
6929,941,952
6930,947,953
6931,951,957
6932,949,958
6933,952,959
6934,952,960
6935,954,962
6936,957,965
6937,957,967
6938,959,966
6939,957,964
6940,957,962
6941,957,966
6942,962,969
6943,962,971
6944,961,968
6945,961,966
6946,960,966
6947,961,969
6948,965,970
6949,965,970
6950,964,970
6951,963,967
6952,958,965
6953,959,967
6954,961,970
6955,959,967
6956,960,970
6957,958,967
6958,957,967
6959,957,968
6960,958,971
6961,963,969
6962,959,968
6963,959,966
6964,959,967
6965,959,966
6966,962,971
6967,963,970
6968,961,968
6969,959,967
6970,958,966
6971,959,968
6972,959,967
6973,956,967
6974,956,965
6975,956,963
6976,955,961
6977,956,965
6978,959,967
6979,958,967
6980,960,964
6981,959,963
6982,956,961
6983,956,964
6984,957,965
6985,956,966
6986,954,964
6987,953,964
6988,952,961
6989,954,963
6990,955,966
6991,955,965
6992,952,965
6993,953,963
6994,950,962
6995,951,964
6996,954,968
6997,952,967
6998,954,963
6999,952,966
7000,950,965
7001,952,970
7002,953,970
7003,955,966
7004,955,968
7005,954,969
7006,954,967
7007,955,968
7008,957,971
7009,958,968
7010,956,968
7011,955,967
7012,954,967
7013,955,968
7014,955,972
7015,956,970
7016,956,971
7017,955,968
7018,952,968
7019,954,968
7020,955,970
7021,957,973
7022,955,971
7023,955,968
7024,953,968
7025,955,970
7026,957,971
7027,959,971
7028,960,969
7029,963,969
7030,963,971
7031,964,974
7032,967,978
7033,968,975
7034,971,974
7035,969,973
7036,970,974
7037,975,978
7038,976,982
7039,978,983
7040,977,981
7041,978,978
7042,975,980
7043,975,980
7044,976,985
7045,974,986
7046,973,984
7047,973,984
7048,970,985
7049,971,984
7050,971,988
7051,971,982
7052,973,983
7053,974,982
7054,977,980
7055,978,982
7056,974,981
7057,972,979
7058,968,980
7059,963,979
7060,956,976
7061,958,979
7062,957,980
7063,958,979
7064,955,979
7065,954,975
7066,952,975
7067,952,977
7068,952,977
7069,951,975
7070,951,974
7071,953,974
7072,951,975
7073,952,977
7074,952,978
7075,952,978
7076,953,976
7077,949,974
7078,949,975
7079,951,975
7080,952,978
7081,950,976
7082,952,975
7083,948,975
7084,946,973
7085,947,977
7086,947,978
7087,951,976
7088,949,974
7089,949,970
7090,944,966
7091,945,962
7092,938,959
7093,932,951
7094,928,948
7095,922,952
7096,910,972
7097,907,1001
7098,921,1026
7099,947,1044
7100,976,1063
7101,1007,1082
7102,1049,1108
7103,1105,1133
7104,1159,1147
7105,1197,1125
7106,1211,1068
7107,1192,998
7108,1135,954
7109,1052,951
7110,984,963
7111,943,967
7112,927,968
7113,927,969
7114,934,971
7115,947,971
7116,947,973
7117,947,972
7118,946,970
7119,947,970
7120,945,969
7121,946,972
7122,947,975
7123,947,974
7124,946,971
7125,945,969
7126,946,969
7127,946,972
7128,945,974
7129,948,975
7130,947,974
7131,946,971
7132,943,972
7133,944,972
7134,945,974
7135,946,973
7136,946,972
7137,946,973
7138,943,973
7139,949,975
7140,946,976
7141,948,975
7142,946,973
7143,947,971
7144,946,973
7145,947,976
7146,950,978
7147,951,978
7148,951,978
7149,948,974
7150,946,974
7151,946,977
7152,947,975
7153,949,977
7154,948,977
7155,946,971
7156,946,975
7157,945,976
7158,949,979
7159,947,975
7160,947,977
7161,944,974
7162,946,972
7163,947,974
7164,947,978
7165,949,976
7166,948,976
7167,945,974
7168,943,972
7169,947,973
7170,948,974
7171,949,971
7172,948,972
7173,948,968
7174,946,968
7175,946,970
7176,948,970
7177,953,969
7178,953,967
7179,950,963
7180,947,964
7181,949,963
7182,947,966
7183,949,963
7184,946,960
7185,946,956
7186,944,954
7187,944,957
7188,947,958
7189,946,955
7190,946,951
7191,943,948
7192,941,947
7193,943,947
7194,943,950
7195,943,947
7196,942,944
7197,939,944
7198,938,940
7199,940,944
7200,943,946
7201,942,945
7202,942,946
7203,942,945
7204,942,949
7205,944,953
7206,947,958
7207,950,959
7208,949,960
7209,952,963
7210,951,968
7211,953,971
7212,957,975
7213,961,977
7214,961,978
7215,962,977
7216,961,980
7217,965,983
7218,966,986
7219,970,988
7220,967,986
7221,966,985
7222,966,986
7223,968,987
7224,969,990
7225,973,990
7226,970,987
7227,969,987
7228,969,987
7229,968,988
7230,973,990
7231,975,988
7232,972,988
7233,973,986
7234,971,987
7235,972,988
7236,972,992
7237,976,992
7238,974,989
7239,972,987
7240,969,985
7241,971,986
7242,972,989
7243,972,988
7244,967,984
7245,967,985
7246,968,985
7247,967,988
7248,967,988
7249,971,988
7250,968,987
7251,969,980
7252,965,984
7253,965,984
7254,968,986
7255,969,986
7256,968,984
7257,967,980
7258,962,981
7259,963,983
7260,968,986
7261,966,984
7262,967,983
7263,966,981
7264,964,980
7265,962,982
7266,965,984
7267,965,982
7268,966,982
7269,961,981
7270,962,979
7271,962,979
7272,961,982
7273,963,982
7274,962,980
7275,960,980
7276,959,979
7277,962,980
7278,963,983
7279,962,982
7280,963,980
7281,961,976
7282,961,976
7283,963,984
7284,963,985
7285,964,984
7286,964,983
7287,961,982
7288,960,980
7289,963,982
7290,965,987
7291,964,984
7292,963,984
7293,964,980
7294,960,982
7295,962,982
7296,963,984
7297,965,985
7298,964,983
7299,962,986
7300,959,981
7301,961,984
7302,961,986
7303,964,984
7304,964,982
7305,962,982
7306,960,983
7307,961,985
7308,963,989
7309,964,987
7310,964,982
7311,964,982
7312,964,981
7313,967,982
7314,972,985
7315,975,984
7316,976,983
7317,975,982
7318,974,983
7319,976,985
7320,975,988
7321,978,988
7322,980,987
7323,978,985
7324,977,985
7325,978,991
7326,983,993
7327,984,996
7328,985,990
7329,982,989
7330,981,991
7331,983,991
7332,983,994
7333,983,996
7334,982,998
7335,979,996
7336,978,993
7337,979,995
7338,980,997
7339,980,995
7340,981,996
7341,984,992
7342,986,992
7343,986,989
7344,983,992
7345,979,991
7346,974,989
7347,970,987
7348,964,985
7349,963,989
7350,960,988
7351,960,987
7352,959,984
7353,957,982
7354,956,983
7355,957,982
7356,955,988
7357,958,986
7358,958,983
7359,955,981
7360,955,982
7361,954,981
7362,957,986
7363,957,987
7364,957,984
7365,956,983
7366,955,982
7367,956,984
7368,960,984
7369,959,984
7370,959,979
7371,957,978
7372,955,973
7373,954,969
7374,945,964
7375,938,956
7376,932,950
7377,923,949
7378,915,964
7379,909,992
7380,912,1020
7381,933,1041
7382,958,1056
7383,977,1064
7384,998,1076
7385,1024,1092
7386,1056,1111
7387,1094,1124
7388,1133,1138
7389,1164,1155
7390,1187,1175
7391,1210,1182
7392,1231,1153
7393,1234,1088
7394,1208,1011
7395,1138,973
7396,1047,972
7397,975,978
7398,940,980
7399,939,978
7400,946,979
7401,953,976
7402,952,973
7403,951,974
7404,953,975
7405,954,975
7406,952,970
7407,951,972
7408,946,970
7409,947,974
7410,949,974
7411,950,973
7412,950,972
7413,948,970
7414,945,970
7415,947,974
7416,949,972
7417,951,973
7418,950,973
7419,947,969
7420,944,969
7421,947,969
7422,947,975
7423,950,975
7424,949,974
7425,947,971
7426,945,970
7427,946,972
7428,950,973
7429,952,972
7430,952,970
7431,951,970
7432,950,971
7433,950,973
7434,951,972
7435,953,974
7436,952,974
7437,950,970
7438,948,969
7439,948,972
7440,951,973
7441,950,970
7442,951,973
7443,948,970
7444,946,970
7445,948,969
7446,948,971
7447,951,972
7448,951,968
7449,949,970
7450,947,969
7451,947,970
7452,949,970
7453,952,968
7454,953,965
7455,950,964
7456,949,964
7457,950,965
7458,950,965
7459,953,966
7460,951,961
7461,952,957
7462,947,959
7463,947,959
7464,948,962
7465,952,960
7466,951,955
7467,949,952
7468,948,951
7469,950,951
7470,950,954
7471,950,950
7472,952,949
7473,947,946
7474,945,943
7475,948,943
7476,949,944
7477,951,941
7478,949,940
7479,947,939
7480,946,938
7481,949,939
7482,950,941
7483,950,939
7484,950,938
7485,950,939
7486,947,938
7487,948,945
7488,947,948
7489,950,949
7490,950,950
7491,950,949
7492,948,954
7493,950,959
7494,955,964
7495,956,965
7496,959,968
7497,957,968
7498,959,969
7499,963,972
7500,965,975
7501,965,971
7502,964,973
7503,964,973
7504,963,973
7505,965,979
7506,968,981
7507,967,980
7508,969,982
7509,971,981
7510,968,980
7511,969,981
7512,973,984
7513,971,985
7514,972,982
7515,971,982
7516,967,981
7517,967,981
7518,969,984
7519,972,983
7520,971,981
7521,967,980
7522,967,978
7523,966,984
7524,969,982
7525,969,981
7526,971,979
7527,969,980
7528,963,979
7529,966,981
7530,967,982
7531,967,984
7532,969,977
7533,965,979
7534,964,980
7535,968,981
7536,968,982
7537,970,983
7538,968,977
7539,965,977
7540,964,973
7541,962,979
7542,961,979
7543,963,980
7544,963,978
7545,957,974
7546,957,972
7547,960,976
7548,960,977
7549,962,976
7550,960,978
7551,958,975
7552,958,975
7553,958,976
7554,958,977
7555,962,977
7556,961,974
7557,960,974
7558,957,974
7559,958,979
7560,961,979
7561,962,977
7562,961,976
7563,958,974
7564,956,972
7565,957,978
7566,956,981
7567,963,980
7568,960,977
7569,958,976
7570,956,973
7571,957,976
7572,960,979
7573,960,980
7574,958,978
7575,958,977
7576,957,978
7577,959,979
7578,961,981
7579,960,982
7580,961,981
7581,960,979
7582,962,979
7583,962,982
7584,962,982
7585,963,981
7586,964,980
7587,962,980
7588,962,979
7589,964,981
7590,967,984
7591,966,980
7592,969,978
7593,969,978
7594,969,979
7595,970,982
7596,973,983
7597,976,982
7598,975,983
7599,976,981
7600,975,982
7601,975,985
7602,980,989
7603,983,991
7604,986,986
7605,985,986
7606,986,987
7607,984,988
7608,985,988
7609,984,989
7610,982,987
7611,981,986
7612,980,985
7613,982,989
7614,982,993
7615,984,994
7616,982,993
7617,980,990
7618,981,989
7619,980,991
7620,977,993
7621,979,992
7622,979,990
7623,980,988
7624,984,986
7625,983,987
7626,978,990
7627,974,986
7628,972,983
7629,967,982
7630,964,980
7631,961,981
7632,958,982
7633,959,981
7634,957,979
7635,956,977
7636,955,979
7637,958,979
7638,960,981
7639,960,982
7640,959,980
7641,957,979
7642,957,979
7643,957,977
7644,958,979
7645,958,977
7646,957,979
7647,954,977
7648,953,976
7649,954,977
7650,955,979
7651,956,976
7652,954,972
7653,952,967
7654,946,962
7655,944,959
7656,937,953
7657,931,946
7658,928,943
7659,921,952
7660,910,971
7661,908,996
7662,920,1020
7663,944,1035
7664,974,1050
7665,1005,1073
7666,1044,1097
7667,1103,1119
7668,1156,1130
7669,1190,1105
7670,1200,1045
7671,1176,982
7672,1116,953
7673,1038,953
7674,976,966
7675,939,967
7676,927,968
7677,928,968
7678,938,966
7679,944,966
7680,945,969
7681,944,969
7682,944,968
7683,945,966
7684,946,967
7685,949,966
7686,951,966
7687,950,967
7688,947,966
7689,945,963
7690,943,963
7691,946,964
7692,946,968
7693,947,964
7694,948,965
7695,945,965
7696,944,967
7697,948,969
7698,948,971
7699,949,968
7700,947,964
7701,945,964
7702,943,964
7703,944,965
7704,945,970
7705,945,967
7706,948,967
7707,945,966
7708,946,965
7709,945,966
7710,944,967
7711,946,969
7712,947,965
7713,946,966
7714,944,964
7715,946,965
7716,948,965
7717,948,967
7718,947,966
7719,948,967
7720,947,965
7721,950,967
7722,949,969
7723,950,966
7724,950,968
7725,949,966
7726,947,963
7727,947,966
7728,949,969
7729,947,966
7730,948,966
7731,944,965
7732,943,963
7733,944,965
7734,947,965
7735,948,964
7736,949,960
7737,945,959
7738,943,960
7739,943,962
7740,945,964
7741,946,960
7742,948,957
7743,947,954
7744,945,954
7745,949,959
7746,949,958
7747,948,956
7748,947,955
7749,949,952
7750,947,948
7751,947,948
7752,949,950
7753,948,949
7754,944,948
7755,943,944
7756,941,943
7757,942,944
7758,941,944
7759,944,941
7760,942,939
7761,942,938
7762,941,935
7763,941,937
7764,941,940
7765,941,936
7766,941,936
7767,939,933
7768,935,931
7769,938,938
7770,940,943
7771,941,943
7772,944,945
7773,942,942
7774,943,945
7775,947,953
7776,949,958
7777,954,960
7778,954,961
7779,954,960
7780,953,962
7781,957,965
7782,958,967
7783,963,966
7784,962,968
7785,959,968
7786,959,968
7787,961,971
7788,961,972
7789,962,973
7790,962,973
7791,963,971
7792,961,971
7793,960,971
7794,962,973
7795,963,974
7796,963,973
7797,963,972
7798,962,972
7799,965,974
7800,965,975
7801,966,973
7802,967,974
7803,967,971
7804,963,972
7805,963,975
7806,965,974
7807,966,972
7808,965,970
7809,965,971
7810,963,971
7811,963,973
7812,964,976
7813,964,972
7814,964,970
7815,960,968
7816,960,966
7817,959,970
7818,960,972
7819,960,971
7820,963,969
7821,959,967
7822,960,965
7823,961,967
7824,960,967
7825,962,968
7826,961,966
7827,962,965
7828,961,966
7829,961,968
7830,961,971
7831,963,967
7832,962,967
7833,961,964
7834,959,963
7835,958,965
7836,958,968
7837,959,968
7838,959,966
7839,958,963
7840,954,963
7841,954,965
7842,958,968
7843,959,965
7844,958,965
7845,954,963
7846,952,963
7847,954,963
7848,956,968
7849,958,966
7850,958,965
7851,958,964
7852,954,962
7853,954,965
7854,956,967
7855,959,966
7856,960,963
7857,958,966
7858,957,965
7859,954,969
7860,956,970
7861,955,967
7862,956,964
7863,958,964
7864,957,962
7865,956,964
7866,960,967
7867,959,967
7868,958,966
7869,954,965
7870,954,964
7871,957,966
7872,960,967
7873,962,967
7874,963,966
7875,965,965
7876,965,965
7877,969,966
7878,970,968
7879,973,966
7880,971,970
7881,974,966
7882,974,969
7883,974,972
7884,979,973
7885,980,972
7886,980,968
7887,978,968
7888,974,967
7889,974,970
7890,974,976
7891,977,978
7892,978,977
7893,975,975
7894,976,976
7895,977,978
7896,977,978
7897,978,978
7898,973,976
7899,972,971
7900,969,972
7901,971,975
7902,973,974
7903,978,971
7904,979,965
7905,976,966
7906,970,965
7907,967,968
7908,965,967
7909,963,968
7910,960,966
7911,953,960
7912,951,962
7913,952,963
7914,951,965
7915,953,965
7916,953,965
7917,952,965
7918,951,964
7919,951,964
7920,953,966
7921,955,963
7922,953,963
7923,950,960
7924,947,963
7925,950,965
7926,954,966
7927,954,967
7928,955,966
7929,952,963
7930,950,963
7931,950,964
7932,952,966
7933,955,961
7934,952,961
7935,951,958
7936,947,955
7937,946,953
7938,943,949
7939,938,944
7940,934,938
7941,930,936
7942,921,943
7943,914,960
7944,911,981
7945,923,1001
7946,940,1013
7947,965,1024
7948,998,1041
7949,1040,1069
7950,1096,1095
7951,1148,1110
7952,1191,1095
7953,1208,1036
7954,1190,969
7955,1133,931
7956,1056,931
7957,988,938
7958,945,947
7959,926,949
7960,921,952
7961,930,954
7962,939,953
7963,942,954
7964,942,953
7965,941,954
7966,942,953
7967,943,955
7968,945,958
7969,945,958
7970,945,955
7971,943,955
7972,942,954
7973,944,957
7974,943,961
7975,945,959
7976,944,959
7977,942,957
7978,940,955
7979,941,960
7980,941,959
7981,943,958
7982,942,960
7983,938,955
7984,935,956
7985,935,958
7986,939,961
7987,941,959
7988,940,957
7989,940,956
7990,939,956
7991,940,961
7992,939,962
7993,942,959
7994,941,956
7995,937,956
7996,936,956
7997,937,958
7998,941,960
7999,941,961
8000,942,962
8001,942,959
8002,940,958
8003,938,961
8004,937,962
8005,939,962
8006,940,956
8007,940,955
8008,939,955
8009,939,957
8010,939,960
8011,940,960
8012,939,962
8013,939,959
8014,939,958
8015,940,958
8016,941,959
8017,941,958
8018,941,956
8019,940,957
8020,938,956
8021,939,957
8022,940,960
8023,941,959
8024,940,956
8025,940,953
8026,938,952
8027,940,954
8028,940,955
8029,942,953
8030,943,950
8031,939,951
8032,937,946
8033,936,949
8034,940,950
8035,941,949
8036,938,946
8037,936,941
8038,934,941
8039,934,942
8040,935,942
8041,935,939
8042,935,936
8043,931,934
8044,929,933
8045,926,936
8046,928,935
8047,929,934
8048,928,931
8049,927,929
8050,926,930
8051,927,932
8052,929,936
8053,933,935
8054,931,936
8055,932,935
8056,930,938
8057,933,944
8058,934,946
8059,937,950
8060,938,951
8061,938,953
8062,940,953
8063,941,957
8064,946,961
8065,947,963
8066,949,964
8067,949,967
8068,949,967
8069,952,970
8070,955,973
8071,957,974
8072,958,972
8073,955,971
8074,956,971
8075,957,973
8076,958,980
8077,959,978
8078,960,977
8079,958,975
8080,957,976
8081,959,980
8082,960,982
8083,962,981
8084,963,977
8085,959,975
8086,958,975
8087,959,978
8088,960,979
8089,963,980
8090,960,978
8091,960,977
8092,956,974
8093,959,976
8094,959,979
8095,958,979
8096,958,980
8097,955,977
8098,953,977
8099,954,979
8100,958,980
8101,959,980
8102,957,979
8103,957,976
8104,952,976
8105,954,979
8106,955,981
8107,953,978
8108,952,975
8109,954,973
8110,950,976
8111,954,977
8112,953,977
8113,954,978
8114,954,974
8115,954,974
8116,951,974
8117,953,973
8118,952,977
8119,954,978
8120,952,974
8121,951,973
8122,949,972
8123,951,974
8124,949,975
8125,951,974
8126,948,974
8127,948,971
8128,945,974
8129,947,975
8130,949,975
8131,950,974
8132,949,973
8133,949,972
8134,947,971
8135,949,973
8136,949,976
8137,952,976
8138,950,976
8139,949,973
8140,948,975
8141,949,976
8142,951,977
8143,952,975
8144,952,976
8145,951,975
8146,948,974
8147,948,977
8148,949,978
8149,953,976
8150,951,977
8151,950,974
8152,947,975
8153,949,975
8154,952,978
8155,951,978
8156,951,977
8157,948,975
8158,948,975
8159,950,977
8160,952,981
8161,952,980
8162,954,976
8163,952,976
8164,951,977
8165,954,976
8166,955,977
8167,957,978
8168,959,978
8169,960,976
8170,958,975
8171,960,976
8172,964,980
8173,964,979
8174,965,978
8175,963,977
8176,965,980
8177,967,983
8178,970,986
8179,970,985
8180,973,987
8181,971,984
8182,970,985
8183,969,983
8184,971,986
8185,969,984
8186,970,986
8187,967,987
8188,965,988
8189,965,992
8190,967,991
8191,969,991
8192,968,990
8193,964,988
8194,966,989
8195,967,990
8196,973,990
8197,976,989
8198,970,986
8199,964,982
8200,956,982
8201,956,984
8202,954,984
8203,952,984
8204,948,981
8205,946,980
8206,943,979
8207,944,980
8208,947,983
8209,947,980
8210,947,980
8211,943,978
8212,942,979
8213,943,981
8214,946,982
8215,944,979
8216,945,978
8217,941,975
8218,941,979
8219,943,981
